		1.0	2.0	3.0	4.0
T0_Wbelieve	%	(0.6441441441441441, 0.35585585585585583)	(0.6762589928057554, 0.3237410071942446)	(0.711395101171459, 0.288604898828541)	(0.7727810650887574, 0.2272189349112426)
T1_Sat1	N	285	448	617	1215
T1_Sat1	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat1	N(i)	(17, 36, 80, 94, 58)	(18, 55, 124, 157, 94)	(19, 66, 164, 219, 149)	(26, 102, 288, 510, 289)
T1_Sat1	%	(0.05964912280701754, 0.12631578947368421, 0.2807017543859649, 0.3298245614035088, 0.20350877192982456)	(0.04017857142857143, 0.12276785714285714, 0.2767857142857143, 0.35044642857142855, 0.20982142857142858)	(0.03079416531604538, 0.10696920583468396, 0.26580226904376014, 0.3549432739059968, 0.24149108589951376)	(0.02139917695473251, 0.08395061728395062, 0.23703703703703705, 0.41975308641975306, 0.23786008230452674)
T1_Sat2	N	284	451	617	1215
T1_Sat2	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat2	N(i)	(13, 34, 68, 93, 76)	(15, 40, 103, 158, 135)	(12, 52, 118, 221, 214)	(22, 64, 257, 455, 417)
T1_Sat2	%	(0.045774647887323945, 0.11971830985915492, 0.23943661971830985, 0.3274647887323944, 0.2676056338028169)	(0.03325942350332594, 0.08869179600886919, 0.22838137472283815, 0.35033259423503327, 0.29933481152993346)	(0.019448946515397084, 0.08427876823338736, 0.1912479740680713, 0.3581847649918963, 0.34683954619124796)	(0.01810699588477366, 0.05267489711934156, 0.21152263374485597, 0.37448559670781895, 0.3432098765432099)
T1_Sat3	N	285	454	622	1223
T1_Sat3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat3	N(i)	(11, 37, 58, 85, 94)	(16, 38, 85, 151, 164)	(9, 40, 121, 213, 239)	(18, 61, 207, 440, 497)
T1_Sat3	%	(0.03859649122807018, 0.12982456140350876, 0.20350877192982456, 0.2982456140350877, 0.3298245614035088)	(0.03524229074889868, 0.08370044052863436, 0.18722466960352424, 0.33259911894273125, 0.36123348017621143)	(0.014469453376205787, 0.06430868167202572, 0.1945337620578778, 0.342443729903537, 0.3842443729903537)	(0.014717906786590351, 0.04987735077677841, 0.16925592804578904, 0.3597710547833197, 0.4063777596075225)
T1_Sat4	N	285	452	615	1213
T1_Sat4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat4	N(i)	(92, 43, 58, 50, 42)	(128, 86, 93, 88, 57)	(161, 118, 130, 124, 82)	(304, 259, 257, 253, 140)
T1_Sat4	%	(0.32280701754385965, 0.15087719298245614, 0.20350877192982456, 0.17543859649122806, 0.14736842105263157)	(0.2831858407079646, 0.1902654867256637, 0.20575221238938052, 0.19469026548672566, 0.1261061946902655)	(0.26178861788617885, 0.191869918699187, 0.21138211382113822, 0.2016260162601626, 0.13333333333333333)	(0.25061830173124483, 0.213520197856554, 0.21187139323990106, 0.2085737840065952, 0.11541632316570487)
T1_Sat5	N	285	453	618	1216
T1_Sat5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat5	N(i)	(40, 69, 94, 51, 31)	(53, 117, 141, 85, 57)	(77, 159, 191, 127, 64)	(132, 307, 402, 257, 118)
T1_Sat5	%	(0.14035087719298245, 0.24210526315789474, 0.3298245614035088, 0.17894736842105263, 0.10877192982456141)	(0.11699779249448124, 0.2582781456953642, 0.31125827814569534, 0.18763796909492272, 0.12582781456953643)	(0.12459546925566344, 0.25728155339805825, 0.30906148867313915, 0.20550161812297735, 0.10355987055016182)	(0.10855263157894737, 0.2524671052631579, 0.3305921052631579, 0.21134868421052633, 0.09703947368421052)
T1_Sat6	N	272	437	606	1207
T1_Sat6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat6	N(i)	(19, 39, 79, 85, 50)	(12, 53, 135, 135, 102)	(22, 88, 168, 196, 132)	(41, 162, 321, 417, 266)
T1_Sat6	%	(0.06985294117647059, 0.14338235294117646, 0.29044117647058826, 0.3125, 0.18382352941176472)	(0.02745995423340961, 0.12128146453089245, 0.30892448512585813, 0.30892448512585813, 0.2334096109839817)	(0.036303630363036306, 0.14521452145214522, 0.27722772277227725, 0.3234323432343234, 0.21782178217821782)	(0.03396851698425849, 0.13421706710853357, 0.2659486329743165, 0.34548467274233635, 0.2203811101905551)
T1_Sat7	N	284	446	614	1215
T1_Sat7	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat7	N(i)	(15, 45, 82, 83, 59)	(11, 50, 136, 153, 96)	(16, 63, 172, 204, 159)	(25, 123, 332, 449, 286)
